Sample_name,Locus,Hash,nReads
MiMammal.0321.1Prt.Dn.1,MiMammal,d928f0cd46b93629bb0091d78cf8bb4923b84460,7
MiMammal.0321.1Prt.Dn.1,MiMammal,d2783700c79a6fbdbaaa41f38a72cd133971f5ec,6
MiMammal.0321.1Prt.Dn.1,MiMammal,312f4a32092bb2abb5b05bcbaa0daab80e3a8d02,3
MiMammal.0321.1Prt.Dn.1,MiMammal,dbfc4c5bd03f414677d0dec505587c7ea976c514,2
MiMammal.0321.1Prt.Dn.2,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,33284
MiMammal.0321.1Prt.Dn.2,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1212
MiMammal.0321.1Prt.Dn.2,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,8351
MiMammal.0321.1Prt.Dn.2,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,136
MiMammal.0321.1Prt.Dn.2,MiMammal,1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16,10332
MiMammal.0321.1Prt.Dn.2,MiMammal,0af50c9e935876232e242db91bb835235691bf3a,546
MiMammal.0321.1Prt.Dn.2,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,2998
MiMammal.0321.1Prt.Dn.2,MiMammal,63a7d0273f9bdd41fc062c411d5c529730a67ff1,4711
MiMammal.0321.1Prt.Dn.2,MiMammal,827f99ae61c4f9a80e1b415ff8de0c02d35659dd,5030
MiMammal.0321.1Prt.Dn.2,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,856
MiMammal.0321.1Prt.Dn.2,MiMammal,1a7f87ab0013574ad60f803c3d8d54cad2d15181,1123
MiMammal.0321.1Prt.Dn.2,MiMammal,1a50e3486cdc5423f8b831ff444cf54e91042554,1036
MiMammal.0321.1Prt.Dn.2,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,11
MiMammal.0321.1Prt.Dn.2,MiMammal,d5f832529f6b73fadb1b9087af48bf9a8dc101c8,1456
MiMammal.0321.1Prt.Dn.2,MiMammal,e949919da98e5306e2e0256d20339908ccb29c81,1378
MiMammal.0321.1Prt.Dn.2,MiMammal,5ec793e1fa5b1af03b12d12d1f83d8206437e32c,983
MiMammal.0321.1Prt.Dn.2,MiMammal,e3d2fad9cee615d4db845a1afc12aac186f8e80e,896
MiMammal.0321.1Prt.Dn.2,MiMammal,bd0035049d9540b3b4f593e82ad1c77adddd9921,838
MiMammal.0321.1Prt.Dn.2,MiMammal,fb434d844c0eecd94ddb6cde96b0f0194c52c80a,2
MiMammal.0321.1Prt.Dn.2,MiMammal,104cd8b505413febe007af9b157d44c05f6316a0,597
MiMammal.0321.1Prt.Dn.2,MiMammal,aa48da6f16ba1ecf8170dc684c45c1b2e3f34202,456
MiMammal.0321.1Prt.Dn.2,MiMammal,4efe675016c464c3220dcb566fc715559a5c1f4e,311
MiMammal.0321.1Prt.Dn.2,MiMammal,a1bb23180a60b999c8d34cebb59b701acaaaf72c,242
MiMammal.0321.1Prt.Dn.2,MiMammal,a5e54797ddba3b68f09a89f5c84ab5b43b90283c,213
MiMammal.0321.1Prt.Dn.2,MiMammal,9abc47c7765bafe86fa0b8c0c4be7ab58dfa8061,92
MiMammal.0321.1Prt.Dn.2,MiMammal,69e1baa12096acc8c9e9158a6a978a8228658b6e,202
MiMammal.0321.1Prt.Dn.2,MiMammal,9cbe9776d7d1838f1adcc215a39365c34a8625e5,174
MiMammal.0321.1Prt.Dn.2,MiMammal,3bc98c2fc6c2bac1037fbc2452824d9524bff3ed,152
MiMammal.0321.1Prt.Dn.2,MiMammal,512180f8b94b5ff7e63032f94f1b3c1b825cb3da,18
MiMammal.0321.1Prt.Dn.2,MiMammal,94bb478e5e71ec60861e4942c3584d23b39b33e8,99
MiMammal.0321.1Prt.Dn.2,MiMammal,034bb4a8d095515c5fa3661e10d121c958bc0c44,55
MiMammal.0321.1Prt.Dn.2,MiMammal,63283ebd575153d54e2bc0a92a096c3cae26a821,20
MiMammal.0321.1Prt.Dn.2,MiMammal,c5a621aaf81ac9b455706c36e638822d82f1c98a,30
MiMammal.0321.1Prt.Dn.2,MiMammal,46cc5af99b1146646945aea2db43863b7264732e,28
MiMammal.0321.1Prt.Dn.2,MiMammal,27b0e0c034d3b795c702e38a28c46d23b738c844,25
MiMammal.0321.1Prt.Dn.2,MiMammal,c79ab0b61570da651915c0b1f1737480bfee8f33,18
MiMammal.0321.1Prt.Dn.2,MiMammal,255e407bf5a74b95e5520452767dd4eed18d529c,18
MiMammal.0321.1Prt.Dn.2,MiMammal,fefe939a91fbdc04493001a9f05660f7eeaab613,13
MiMammal.0321.1Prt.Dn.2,MiMammal,771a2a4476df29293588e8d4110dec17e613cd0b,7
MiMammal.0321.1Prt.Dn.2,MiMammal,7459ed39ce5db34efc09676d160062920fd0a5bc,6
MiMammal.0321.1Prt.Dn.2,MiMammal,2b3bc28d27109be61167eda3b0e36b83d1584786,5
MiMammal.0321.1Prt.Dn.2,MiMammal,f07a41cd8cd299a928be8310d7366816f181212a,4
MiMammal.0321.1Prt.Dn.2,MiMammal,c61d6ce0c966b8fff606e796e88a2de999dcc868,4
MiMammal.0321.1Prt.Dn.2,MiMammal,3c55bfffc762cd4c06087cd499d566ad9884ca63,2
MiMammal.0321.4Pad.Up11.1,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,40052
MiMammal.0321.4Pad.Up11.1,MiMammal,8ade38d6c1396cc32395e6773d53ae373734314c,3
MiMammal.0321.4Pad.Up11.1,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1513
MiMammal.0321.4Pad.Up11.1,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,7504
MiMammal.0321.4Pad.Up11.1,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,719
MiMammal.0321.4Pad.Up11.1,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,1179
MiMammal.0321.4Pad.Up11.1,MiMammal,5dbce0075732b37e517721c275ba3c2e14e50196,2330
MiMammal.0321.4Pad.Up11.1,MiMammal,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,1948
MiMammal.0321.4Pad.Up11.1,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,4003
MiMammal.0321.4Pad.Up11.1,MiMammal,358d0def35bc8bcf2711011fb63f7fc511496cc5,1251
MiMammal.0321.4Pad.Up11.1,MiMammal,da86e55cb2b03c4f47a877c184e63d907a48bc4e,30
MiMammal.0321.4Pad.Up11.1,MiMammal,00a087f7239da5d4c077535f394c6bc1868e04d3,2079
MiMammal.0321.4Pad.Up11.1,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,311
MiMammal.0321.4Pad.Up11.1,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,44
MiMammal.0321.4Pad.Up11.1,MiMammal,5a0c3363fdff5328d9329fe07af54c881ec0fbf2,1636
MiMammal.0321.4Pad.Up11.1,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,111
MiMammal.0321.4Pad.Up11.1,MiMammal,3fb271469c16a0263ae285a8bd995cb5cdf82390,153
MiMammal.0321.4Pad.Up11.1,MiMammal,5681412e10d7afca74e29a9daffb93b31b243cf3,608
MiMammal.0321.4Pad.Up11.1,MiMammal,5b6caeb888f690d3223af08d03fcc9785def9d0e,5
MiMammal.0321.4Pad.Up11.1,MiMammal,102fba8ef6395bfb379e3c7e37d4b4237e0c13cb,26
MiMammal.0321.4Pad.Up11.1,MiMammal,a1ecb2c70bef54058868d81e8f8b510a48061c41,11
MiMammal.0321.4Pad.Up11.1,MiMammal,ea3f03e6ca887f21b5ab45dedc298ac26587f3b0,345
MiMammal.0321.4Pad.Up11.1,MiMammal,38827096d0387de3384b7947b12fd794ccbeebee,277
MiMammal.0321.4Pad.Up11.1,MiMammal,42bfad7118600bcb5e32197d62d315f8c630b47f,192
MiMammal.0321.4Pad.Up11.1,MiMammal,44371723ba75af5fce2c8ba0e3b35b828bc69d18,155
MiMammal.0321.4Pad.Up11.1,MiMammal,12a8b6076ba2a5fd7d011d6d6d7abecfa6151b6e,136
MiMammal.0321.4Pad.Up11.1,MiMammal,8f90335084467c8c8bf662de1e70d054e0439671,62
MiMammal.0321.4Pad.Up11.1,MiMammal,de1b0fa5bf4731ad0304175bb17eaf4e747ba2fa,4
MiMammal.0321.4Pad.Up11.1,MiMammal,f16837dc705550a5b62ada3e46d1f5309ed36525,94
MiMammal.0321.4Pad.Up11.1,MiMammal,978773a3d8705cba810cff57cd17f4a81ccc5ee2,86
MiMammal.0321.4Pad.Up11.1,MiMammal,f8808479caf6f60dc18d92dfaafb42b36156a20a,82
MiMammal.0321.4Pad.Up11.1,MiMammal,729de283a62124c4f1f3a069ff9ceb6f6a079413,64
MiMammal.0321.4Pad.Up11.1,MiMammal,a98ac973b68033d2db7c3a2ee2884bbc364cfd38,59
MiMammal.0321.4Pad.Up11.1,MiMammal,63283ebd575153d54e2bc0a92a096c3cae26a821,26
MiMammal.0321.4Pad.Up11.1,MiMammal,ccf032b931135ad144e382d2ece47a7006885187,25
MiMammal.0321.4Pad.Up11.1,MiMammal,fd493d567460f0f09061341c300fa488d3400d37,20
MiMammal.0321.4Pad.Up11.1,MiMammal,3f610bd76ac174ffc6dfee55ba258deb28cbd256,15
MiMammal.0321.4Pad.Up11.1,MiMammal,49a0e8d2fae99468c0cd3e5b25df503038a0ff31,12
MiMammal.0321.4Pad.Up11.1,MiMammal,d5702888de20d9944cfa565cfcb59e12c7e484c3,12
MiMammal.0321.4Pad.Up11.1,MiMammal,54e842e6e1332f716a63aa1d5041821b996dd61b,9
MiMammal.0321.4Pad.Up11.1,MiMammal,de56d16f632dc257d00e663b04c39b00cbf52fc6,9
MiMammal.0321.4Pad.Up11.1,MiMammal,e2b62a4d61f8ca164706027e5358e89128d64145,6
MiMammal.0321.4Pad.Up11.1,MiMammal,68818750614e483fdd264d997fab1df3161bbb97,6
MiMammal.0321.4Pad.Up11.1,MiMammal,44d4d6969bfa59af637a84efc050a42647a15854,6
MiMammal.0321.4Pad.Up11.1,MiMammal,e12f257b64ed928ce13d40e38a745e97625d9cbb,4
MiMammal.0321.4Pad.Up11.1,MiMammal,b8d95b2c0489147a43dd3c34adea4127114e11d3,4
MiMammal.0321.2Brn.Up.3,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,2924
MiMammal.0321.2Brn.Up.3,MiMammal,8ade38d6c1396cc32395e6773d53ae373734314c,47517
MiMammal.0321.2Brn.Up.3,MiMammal,580a64b0134da56e49bf06482ed6ee164d8a6ec5,2096
MiMammal.0321.2Brn.Up.3,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,1647
MiMammal.0321.2Brn.Up.3,MiMammal,f5b5aded2ca74ffb7f6b02448ffa90a36de662df,796
MiMammal.0321.2Brn.Up.3,MiMammal,76918abfaa90d218d683fdbc4f8024dd430d7d91,1536
MiMammal.0321.2Brn.Up.3,MiMammal,f49ae8c6819abdfd33d13f2b07c6fcbbc25ee4f0,1374
MiMammal.0321.2Brn.Up.3,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,24
MiMammal.0321.2Brn.Up.3,MiMammal,53ef8d04c34a3b621ec03930bc093691db6632e2,394
MiMammal.0321.2Brn.Up.3,MiMammal,858f4c2c3cd20bd167f1e495bfdc88b71aa217a9,278
MiMammal.0321.2Brn.Up.3,MiMammal,ee10a57b8e892ee72bf167c0efd0a15ec40cd488,221
MiMammal.0321.2Brn.Up.3,MiMammal,0983c487b945163068419061c665b36b2718d0f0,9
MiMammal.0321.2Brn.Up.3,MiMammal,c1a0c35ab3134a8952d48617cc2d9a51d2caa82f,206
MiMammal.0321.2Brn.Up.3,MiMammal,41f7f70b9a0e5588c1da27aaab8b61682e41e656,193
MiMammal.0321.2Brn.Up.3,MiMammal,5dc629e55485a72eb5bf46bb6348dc9d617355f1,5
MiMammal.0321.2Brn.Up.3,MiMammal,62267015403ac12fbbb8ddffdbd68235216afe9e,6
MiMammal.0321.2Brn.Up.3,MiMammal,3c4e754a97efa108e6feec65c0c355365d44d9da,65
MiMammal.0321.2Brn.Up.3,MiMammal,2c3826cc61e3a0a0bd977888551b19b77a34b9e9,43
MiMammal.0321.2Brn.Up.3,MiMammal,64acd71396ce9fd7a044de196d7f1e36a58c8f32,17
MiMammal.0321.2Brn.Up.3,MiMammal,2cc1ff5dc58ab5670dd0d8f1c8abbb13430e248c,19
MiMammal.0321.2Brn.Up.3,MiMammal,61d6607ef20ccb0372d001f97b873c4cd0b9cad2,15
MiMammal.0321.2Brn.Up.3,MiMammal,e63bb95cb84bcb19acba5f02d21b8043630c6051,11
MiMammal.0321.2Brn.Up.3,MiMammal,7d5ceb226485cafc5fc501642099c84dfc7214cc,8
MiMammal.0321.2Brn.Up.3,MiMammal,bd58c2d5faea2d4d2c86847b175caa1cfe9942ae,5
MiMammal.0321.5Sqm.Dn.1,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,12242
MiMammal.0321.5Sqm.Dn.1,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,2585
MiMammal.0321.5Sqm.Dn.1,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,15251
MiMammal.0321.5Sqm.Dn.1,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,11206
MiMammal.0321.5Sqm.Dn.1,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,25300
MiMammal.0321.5Sqm.Dn.1,MiMammal,31f58f5089fdc196a53e11198d538061dd41bb97,3705
MiMammal.0321.5Sqm.Dn.1,MiMammal,1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16,1240
MiMammal.0321.5Sqm.Dn.1,MiMammal,0af50c9e935876232e242db91bb835235691bf3a,2301
MiMammal.0321.5Sqm.Dn.1,MiMammal,2888591f23daf76ef3ae53a7d4bd6ffe13361bb8,8787
MiMammal.0321.5Sqm.Dn.1,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,344
MiMammal.0321.5Sqm.Dn.1,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,4668
MiMammal.0321.5Sqm.Dn.1,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,812
MiMammal.0321.5Sqm.Dn.1,MiMammal,8005d06b5717f047aac5d6ee7238b50bd1f9a895,4578
MiMammal.0321.5Sqm.Dn.1,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,533
MiMammal.0321.5Sqm.Dn.1,MiMammal,29c5193eb0e4e364b7127ff7590e8eb751d24740,90
MiMammal.0321.5Sqm.Dn.1,MiMammal,d15e926efd8720231adb32a8b4e6e40608827676,435
MiMammal.0321.5Sqm.Dn.1,MiMammal,34b95af64697c2feb0ab121d484733666197ae1f,1296
MiMammal.0321.5Sqm.Dn.1,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,11
MiMammal.0321.5Sqm.Dn.1,MiMammal,7ed525639c40b9418b4743e59f833fa5b3bdf355,256
MiMammal.0321.5Sqm.Dn.1,MiMammal,6f93809b6bc63b61b0d350733addd08a6ab86f2e,36
MiMammal.0321.5Sqm.Dn.1,MiMammal,b95d5d14a373b1d97836a5552f9b214cab31fc0e,116
MiMammal.0321.5Sqm.Dn.1,MiMammal,b2aa06b5fea074d599c5d60c2c85f06368dafb28,118
MiMammal.0321.5Sqm.Dn.1,MiMammal,7ab5e92a5cd0e99b7e8d4c0c7a10b534618de006,221
MiMammal.0321.5Sqm.Dn.1,MiMammal,2cfff9ce7e2ea0339b4273bb3e699ff610799cc6,152
MiMammal.0321.5Sqm.Dn.1,MiMammal,7cb1f8f9f7d2179d9283ea8595c40a3a1936b63b,147
MiMammal.0321.5Sqm.Dn.1,MiMammal,461e1d95202c4ac8a1b4907dcc2e82ba8c2f8608,73
MiMammal.0321.5Sqm.Dn.1,MiMammal,484cd19d609b852a8c88a31f26922b9c57fffaaf,43
MiMammal.0321.5Sqm.Dn.1,MiMammal,3d1941d67d31514acb28d9199f0c1dfb7872c538,22
MiMammal.0321.5Sqm.Dn.1,MiMammal,e4029dcdd8cb228ef66634a4e1a84a133a3e174e,34
MiMammal.0321.5Sqm.Dn.1,MiMammal,96cd10eef7f1ebc224fcf05daf8e8dec01511a26,31
MiMammal.0321.5Sqm.Dn.1,MiMammal,5210fcf389fd4604a2322aae8fd6f038c09edae3,21
MiMammal.0321.5Sqm.Dn.1,MiMammal,24b88583aeecf80c2bee169f80844c94fc69d8da,14
MiMammal.0321.5Sqm.Dn.1,MiMammal,76ba534da6f9c9e4f9843ec782a36f36b161bfdc,7
MiMammal.0321.5Sqm.Dn.1,MiMammal,5a1361768dd6feede878f1fc2c4c5c391dda6ddc,6
MiMammal.0321.5Sqm.Dn.1,MiMammal,c05b894e2ec8a3406a0e41f29f35b0a2215d81a8,5
MiMammal.0321.5Sqm.Dn.1,MiMammal,1cc2acb7e0eebbe559a58b7eb11010d20257c96d,3
MiMammal.0321.5Sqm.Up.1,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,21292
MiMammal.0321.5Sqm.Up.1,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,3640
MiMammal.0321.5Sqm.Up.1,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,868
MiMammal.0321.5Sqm.Up.1,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,8340
MiMammal.0321.5Sqm.Up.1,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,3030
MiMammal.0321.5Sqm.Up.1,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,9835
MiMammal.0321.5Sqm.Up.1,MiMammal,31f58f5089fdc196a53e11198d538061dd41bb97,1868
MiMammal.0321.5Sqm.Up.1,MiMammal,0af50c9e935876232e242db91bb835235691bf3a,410
MiMammal.0321.5Sqm.Up.1,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,52
MiMammal.0321.5Sqm.Up.1,MiMammal,f5b5aded2ca74ffb7f6b02448ffa90a36de662df,535
MiMammal.0321.5Sqm.Up.1,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,7125
MiMammal.0321.5Sqm.Up.1,MiMammal,2888591f23daf76ef3ae53a7d4bd6ffe13361bb8,2427
MiMammal.0321.5Sqm.Up.1,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,658
MiMammal.0321.5Sqm.Up.1,MiMammal,8001433422f2dfb9b7333084b5ae4a31130f34f2,1015
MiMammal.0321.5Sqm.Up.1,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,1771
MiMammal.0321.5Sqm.Up.1,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,529
MiMammal.0321.5Sqm.Up.1,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,314
MiMammal.0321.5Sqm.Up.1,MiMammal,d15e926efd8720231adb32a8b4e6e40608827676,1545
MiMammal.0321.5Sqm.Up.1,MiMammal,34b95af64697c2feb0ab121d484733666197ae1f,1208
MiMammal.0321.5Sqm.Up.1,MiMammal,814bd62cd7f0891ddea80fac0be25f86af95d790,164
MiMammal.0321.5Sqm.Up.1,MiMammal,c727807b7ab66f859a5f5d3c25a99148e2db6249,259
MiMammal.0321.5Sqm.Up.1,MiMammal,8b4c02e43471f8e756ef519737102f06235928ee,826
MiMammal.0321.5Sqm.Up.1,MiMammal,7ed525639c40b9418b4743e59f833fa5b3bdf355,34
MiMammal.0321.5Sqm.Up.1,MiMammal,3fb271469c16a0263ae285a8bd995cb5cdf82390,20
MiMammal.0321.5Sqm.Up.1,MiMammal,23c028aed3e55ece7d6dd3dfa4e93a0defff131b,344
MiMammal.0321.5Sqm.Up.1,MiMammal,d44650aa63984723c4bb0aa0fec4e806e19d3f4b,325
MiMammal.0321.5Sqm.Up.1,MiMammal,29ccfd7300dc93ae980c866b3f1292c8022c2393,307
MiMammal.0321.5Sqm.Up.1,MiMammal,e73c53430f8c4f79d471707da171614fc9c2335b,6
MiMammal.0321.5Sqm.Up.1,MiMammal,70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c,210
MiMammal.0321.5Sqm.Up.1,MiMammal,6130d4c9a1f7f972bc42133727753052ac151e8a,123
MiMammal.0321.5Sqm.Up.1,MiMammal,3e49e9c07d24693646a88eb49764795f20c5f2c0,43
MiMammal.0321.5Sqm.Up.1,MiMammal,1c750e6acf7f257b38dd658fb72d1db65d5ad259,42
MiMammal.0321.5Sqm.Up.1,MiMammal,3d1941d67d31514acb28d9199f0c1dfb7872c538,16
MiMammal.0321.5Sqm.Up.1,MiMammal,231893358a8ba7adb4fef06c635d782ef2d6d5e0,36
MiMammal.0321.5Sqm.Up.1,MiMammal,e31692ff1b969276eaaeda69d89bd0730718590a,28
MiMammal.0321.5Sqm.Up.1,MiMammal,51e908a6f6964bf503f93664f2414dc047836067,24
MiMammal.0321.5Sqm.Up.1,MiMammal,ad9967724591a933304efdf33cac6562fb9a960a,22
MiMammal.0321.5Sqm.Up.1,MiMammal,d309ced2971b446868521a77a19c297440c2b79d,21
MiMammal.0321.5Sqm.Up.1,MiMammal,e6187ffabff6050b6d492f7860fb46f5956c3672,17
MiMammal.0321.5Sqm.Up.1,MiMammal,495c80440c8a0f5a1db0c5c29be1e49e4b3def1d,6
MiMammal.0321.5Sqm.Up.1,MiMammal,e4fc6411ff5120e9d3df6766f46d1e432580588b,6
MiMammal.0321.5Sqm.Up.1,MiMammal,8686d74259ac59c8dc4acf78f8161693e4aac098,5
MiMammal.0321.5Sqm.Up.1,MiMammal,97e277c69f21b9949ddf8bf762e3da06b3ad7fe3,5
MiMammal.0321.5Sqm.Up.1,MiMammal,33873de1ba0f09067c24b38d0355d4d97a8e5718,5
MiMammal.0321.5Sqm.Up.1,MiMammal,722380c057217c1cde78910942ca06c327f1b35b,4
MiMammal.0321.5Sqm.Up.1,MiMammal,4988979f8954244992ea30a3498ba92209607719,2
MiMammal.0321.5Sqm.Up.2,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,6093
MiMammal.0321.5Sqm.Up.2,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,3
MiMammal.0321.5Sqm.Up.2,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1663
MiMammal.0321.5Sqm.Up.2,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,4248
MiMammal.0321.5Sqm.Up.2,MiMammal,c161735732d10ef81323d9b5812491897d2eb5ab,7590
MiMammal.0321.5Sqm.Up.2,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,7457
MiMammal.0321.5Sqm.Up.2,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,1796
MiMammal.0321.5Sqm.Up.2,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1300
MiMammal.0321.5Sqm.Up.2,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,2243
MiMammal.0321.5Sqm.Up.2,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,18
MiMammal.0321.5Sqm.Up.2,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,4561
MiMammal.0321.5Sqm.Up.2,MiMammal,2888591f23daf76ef3ae53a7d4bd6ffe13361bb8,2402
MiMammal.0321.5Sqm.Up.2,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,844
MiMammal.0321.5Sqm.Up.2,MiMammal,8001433422f2dfb9b7333084b5ae4a31130f34f2,1089
MiMammal.0321.5Sqm.Up.2,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,1749
MiMammal.0321.5Sqm.Up.2,MiMammal,334d14d4c60937f5fd35b2803afc9d66a7408620,11626
MiMammal.0321.5Sqm.Up.2,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,271
MiMammal.0321.5Sqm.Up.2,MiMammal,ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab,1082
MiMammal.0321.5Sqm.Up.2,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,1175
MiMammal.0321.5Sqm.Up.2,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,636
MiMammal.0321.5Sqm.Up.2,MiMammal,8005d06b5717f047aac5d6ee7238b50bd1f9a895,453
MiMammal.0321.5Sqm.Up.2,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,3156
MiMammal.0321.5Sqm.Up.2,MiMammal,29c5193eb0e4e364b7127ff7590e8eb751d24740,92
MiMammal.0321.5Sqm.Up.2,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,12
MiMammal.0321.5Sqm.Up.2,MiMammal,814bd62cd7f0891ddea80fac0be25f86af95d790,1468
MiMammal.0321.5Sqm.Up.2,MiMammal,1817c9310d0145992696f8490f9c0dea4501cf52,63
MiMammal.0321.5Sqm.Up.2,MiMammal,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,19
